soc2010,f1,f2,clust,soc2010_occs,cluster
474099,.12146565,1.2027688,3,"Construction and Related Workers, All Other",Three
475011,-1.1652263,.5175252,3,"Derrick Operators, Oil and Gas",Three
475012,-.78827399,.52410597,3,"Rotary Drill Operators, Oil and Gas",Three
475013,-.16515644,1.3867602,3,"Service Unit Operators, Oil, Gas, and Mining",Three
475021,-1.2017683,1.1300379,3,"Earth Drillers, Except Oil and Gas",Three
475031,.14385682,.70039392,3,"Explosives Workers, Ordnance Handling Experts, and Blasters",Three
475041,-.94888514,.72779542,3,Continuous Mining Machine Operators,Three
475042,-1.1560817,.73942089,3,Mine Cutting and Channeling Machine Operators,Three
475051,-1.4731114,.46303591,3,"Rock Splitters, Quarry",Three
475061,-1.4689187,.9426744,3,"Roof Bolters, Mining",Three
475071,-1.2560121,.50021136,3,"Roustabouts, Oil and Gas",Three
475081,-.58607072,1.0999869,3,Helpers--Extraction Workers,Three
491011,.81970125,1.0860925,2,"First-Line Supervisors of Mechanics, Installers, and Repairers",Two
492011,.4312861,.76737756,3,"Computer, Automated Teller, and Office Machine Repairers",Three
492021,.63417864,1.1481751,2,"Radio, Cellular, and Tower Equipment Installers and Repairs",Two
492022,.52069885,.95537794,2,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Two
492091,1.0690835,.9899022,2,Avionics Technicians,Two
492092,-.36372867,1.532836,3,"Electric Motor, Power Tool, and Related Repairers",Three
492093,.091892116,.45312262,3,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Three
492094,1.2947873,2.1872671,2,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Two
492095,.49736586,1.2914811,2,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Two
492096,.62615216,.98905146,2,"Electronic Equipment Installers and Repairers, Motor Vehicles",Two
492097,.52692491,1.6574562,2,Electronic Home Entertainment Equipment Installers and Repairers,Two
492098,.21795559,.502092,3,Security and Fire Alarm Systems Installers,Three
493011,.60259515,1.2556996,2,Aircraft Mechanics and Service Technicians,Two
493021,-.77925628,.71962255,3,Automotive Body and Related Repairers,Three
493022,-1.1401583,.40202233,3,Automotive Glass Installers and Repairers,Three
493023,.20327258,.61008424,3,Automotive Service Technicians and Mechanics,Three
493031,-.18849044,.99586421,3,Bus and Truck Mechanics and Diesel Engine Specialists,Three
493041,-.18512577,.73139513,3,Farm Equipment Mechanics and Service Technicians,Three
493042,-.17136383,1.7955579,2,"Mobile Heavy Equipment Mechanics, Except Engines",Two
493043,-1.0057902,.73055518,3,Rail Car Repairers,Three
493051,-.12414707,.70539886,3,Motorboat Mechanics and Service Technicians,Three
493052,-.5771597,.52918917,3,Motorcycle Mechanics,Three
493053,-.44410023,.53068,3,Outdoor Power Equipment and Other Small Engine Mechanics,Three
493091,-.38678452,.89398956,3,Bicycle Repairers,Three
493092,-.52504063,.86721951,3,Recreational Vehicle Service Technicians,Three
493093,-.6883719,.19140373,3,Tire Repairers and Changers,Three
499011,-.59710562,1.407253,3,Mechanical Door Repairers,Three
499012,-.57228374,.32468933,3,"Control and Valve Installers and Repairers, Except Mechanical Door",Three
499021,.46376732,1.5483063,2,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Two
499031,-.21240333,.3555398,3,Home Appliance Repairers,Three
499041,-.17936058,2.2005248,2,Industrial Machinery Mechanics,Two
499043,-.64056218,1.5192363,3,"Maintenance Workers, Machinery",Three
499044,-.035227302,1.7828634,2,Millwrights,Two
499045,-1.1634778,.80871439,3,"Refractory Materials Repairers, Except Brickmasons",Three
499051,-.22828852,1.2827163,3,Electrical Power-Line Installers and Repairers,Three
499052,-.13843225,.28342488,3,Telecommunications Line Installers and Repairers,Three
499061,-.02263039,1.446357,3,Camera and Photographic Equipment Repairers,Three
499062,.87072539,1.2490515,2,Medical Equipment Repairers,Two
499063,-.23552783,.53761905,3,Musical Instrument Repairers and Tuners,Three
499064,-.92546391,1.0378681,3,Watch Repairers,Three
499071,-.781331,1.1682104,3,"Maintenance and Repair Workers, General",Three
499081,.55783153,1.3162388,2,Wind Turbine Service Technicians,Two
499091,-.98844016,-.058525741,3,"Coin, Vending, and Amusement Machine Servicers and Repairers",Three
499092,-.46088919,.72121453,3,Commercial Divers,Three
499093,-1.2022098,.65405267,3,"Fabric Menders, Except Garment",Three
499094,-.12303807,.25220487,3,Locksmiths and Safe Repairers,Three
499095,-.094005831,1.8929423,2,Manufactured Building and Mobile Home Installers,Two
499096,-1.298268,1.0971749,3,Riggers,Three
499097,-.065952145,.63304752,3,Signal and Track Switch Repairers,Three
499098,-.86564386,.21042575,3,"Helpers--Installation, Maintenance, and Repair Workers",Three
499099,.29482159,.42280129,3,"Installation, Maintenance, and Repair Workers, All Other",Three
511011,.12635067,.89226389,3,First-Line Supervisors of Production and Operating Workers,Three
512011,.11391635,1.3721558,2,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Two
512021,-1.3366539,.31829378,3,"Coil Winders, Tapers, and Finishers",Three
512022,-.85550696,.61479563,3,Electrical and Electronic Equipment Assemblers,Three
512023,-.89627218,1.6640962,3,Electromechanical Equipment Assemblers,Three
512031,-.65066773,.84538287,3,Engine and Other Machine Assemblers,Three
512041,-1.0746071,1.3381201,3,Structural Metal Fabricators and Fitters,Three
512091,-.6767751,.62793595,3,Fiberglass Laminators and Fabricators,Three
512092,-.75237852,-.34205285,3,Team Assemblers,Three
512093,-.80536473,.77709967,3,Timing Device Assemblers and Adjusters,Three
513011,-1.1574558,.46544313,3,Bakers,Three
513021,-.94065398,-.074076131,3,Butchers and Meat Cutters,Three
513022,-1.8118846,.595263,3,"Meat, Poultry, and Fish Cutters and Trimmers",Three
513023,-1.6768014,.14632115,3,Slaughterers and Meat Packers,Three
513091,-1.4276022,.1652002,3,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Three
513092,-.88597041,.14075151,3,Food Batchmakers,Three
513093,-1.0026395,.25403744,3,Food Cooking Machine Operators and Tenders,Three
514011,.4429391,1.6540825,2,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Two
514012,1.6737807,2.2854419,2,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Two
514021,-.62568241,.30252776,3,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514022,-.7357282,1.0536659,3,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514023,-.53492916,.53624856,3,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514031,-.89049071,.58763713,3,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514032,-.21668163,.54669505,3,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Three
514033,-.6654039,.33160436,3,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Three
514034,-.5700956,.75107169,3,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Three
