soc2010,f1,f2,clust,soc2010_occs,cluster
534021,-.9316535,.20400973,3,"Railroad Brake, Signal, and Switch Operators",Three
534031,-.54115725,-.046999477,3,Railroad Conductors and Yardmasters,Three
534041,-1.0475063,-.13086103,3,Subway and Streetcar Operators,Three
535011,-.49098441,.093822375,3,Sailors and Marine Oilers,Three
535021,-.03099566,-.003593385,3,"Captains, Mates, and Pilots of Water Vessels",Three
535022,-.86275095,.58533859,3,Motorboat Operators,Three
535031,-.14794844,1.3505725,3,Ship Engineers,Three
536011,-1.5442594,.3318187,3,Bridge and Lock Tenders,Three
536021,-1.5551664,.11311159,3,Parking Lot Attendants,Three
536031,-.47144625,.38867238,3,Automotive and Watercraft Service Attendants,Three
536041,.88600767,.82906228,2,Traffic Technicians,Two
536051,-.033008434,.1208028,3,Transportation Inspectors,Three
536061,-1.6163002,.21555436,3,"Transportation Attendants, Except Flight Attendants ",Three
537011,-.55266869,1.3911927,3,Conveyor Operators and Tenders,Three
537021,-.66855294,.33651537,3,Crane and Tower Operators,Three
537031,-1.3413429,.86493182,3,Dredge Operators,Three
537032,-.734218,.82517928,3,Excavating and Loading Machine and Dragline Operators,Three
537033,-1.5947442,.85447896,3,"Loading Machine Operators, Underground Mining",Three
537041,-.99970359,.4499459,3,Hoist and Winch Operators,Three
537051,-.98193836,.077835798,3,Industrial Truck and Tractor Operators,Three
537061,-1.7830426,.46599782,3,Cleaners of Vehicles and Equipment,Three
537062,-1.4496908,.022111639,3,"Laborers and Freight, Stock, and Material Movers, Hand",Three
537063,-1.3870628,.25142801,3,Machine Feeders and Offbearers,Three
537064,-1.1579846,.14092934,3,"Packers and Packagers, Hand",Three
537071,-.27491367,.39459562,3,Gas Compressor and Gas Pumping Station Operators,Three
537072,.074817486,.086721972,3,"Pump Operators, Except Wellhead Pumpers",Three
537073,-.79800534,.21231087,3,Wellhead Pumpers,Three
537081,-1.4009695,.3519769,3,Refuse and Recyclable Material Collectors,Three
537111,-1.7602055,.40215909,3,Mine Shuttle Car Operators,Three
537121,-.12230054,.17087528,3,"Tank Car, Truck, and Ship Loaders",Three
